"user_id","user_id_str","followers_count","friends_count","listed_count","favourites_count","statuses_count","total_tweets","covid_tweets","covid_pct","is_covid"
1001718774,"1001718774",73,122,0,0,244,3,0,0.0,False
1013029670,"1013029670",911,2710,11,199,159,1,0,0.0,False
1015918867,"1015918867",227,459,8,429,191,1,0,0.0,False
102507261,"102507261",3693,3107,42,36590,19030,1120,48,0.04285714285714286,True
1029522599951458304,"1029522599951458304",55,117,0,824,58,40,0,0.0,False
1047081,"1047081",685,335,36,643,1547,11,0,0.0,False
1047521,"1047521",1899,153,42,1487,1479,125,1,0.008,True
104856533,"104856533",129,540,0,1491,1340,100,0,0.0,False
1058855480,"1058855480",3362,2462,15,0,1642,13,1,0.07692307692307693,True
1071764690487963648,"1071764690487963648",129,600,56,2324,181,117,1,0.008547008547008548,True
107529349,"107529349",289,473,36,1630,3464,15,0,0.0,False
1091267832,"1091267832",2650,86,51,135,6039,450,11,0.024444444444444446,True
109520714,"109520714",1624,377,17,55,121415,3250,130,0.04,True
109597567,"109597567",4621,1964,89,821,1857,7,0,0.0,False
110132231,"110132231",4921,4525,75,2023,11004,207,2,0.00966183574879227,True
1107062401,"1107062401",32,209,0,1,2,1,0,0.0,False
112761172,"112761172",279,271,2,45,87,48,7,0.14583333333333334,True
1131075678,"1131075678",155,234,2,0,1514,33,0,0.0,False
113678730,"113678730",1419,1325,17,48,47232,2357,100,0.04242681374628765,True
113925365,"113925365",1661,1422,46,5774,10756,88,4,0.045454545454545456,True
114186004,"114186004",2209,6,28,493,3497,43,9,0.20930232558139536,True
1148574362112548864,"1148574362112548864",254,97,6,507,610,285,12,0.042105263157894736,True
11499162,"11499162",2432,665,58,230,2372,6,1,0.16666666666666666,True
115713326,"115713326",624,598,4,75,188,6,0,0.0,False
117359109,"117359109",4410,1435,22,181,5875,353,1,0.0028328611898017,True
1180779594330324992,"1180779594330324992",2024,541,8,2504,635,395,69,0.17468354430379746,True
118332819,"118332819",183,380,1,16,18,3,0,0.0,False
1187734177963270145,"1187734177963270145",17,107,0,15,14,13,0,0.0,False
119049572,"119049572",2769,33,38,2461,6535,18,0,0.0,False
1211567845949104128,"1211567845949104128",76,197,0,228,62,61,1,0.01639344262295082,True
123230534,"123230534",653,313,15,18895,32240,3218,192,0.05966438781852082,True
124257313,"124257313",1911,1559,3,393,1958,8,0,0.0,False
1244592674159693825,"1244592674159693825",665,162,7,670,837,568,135,0.23767605633802816,True
125612883,"125612883",1613,124,9,32,1767,141,4,0.028368794326241134,True
1261895798,"1261895798",2924,1667,45,3,3445,107,2,0.018691588785046728,True
1262200784,"1262200784",118,311,0,19,257,130,5,0.038461538461538464,True
126640203,"126640203",944,557,13,192,1060,25,0,0.0,False
1311028620,"1311028620",3719,335,22,7011,8915,607,17,0.02800658978583196,True
1313944909712326659,"1313944909712326659",2,19,0,1137,6,6,0,0.0,False
1314516864001888257,"1314516864001888257",36,85,0,96,50,30,18,0.6,True
1319555051283795968,"1319555051283795968",124,147,0,83,127,39,3,0.07692307692307693,True
1321465345,"1321465345",1745,1516,9,1434,598,29,0,0.0,False
133187906,"133187906",559,475,6,34,499,4,0,0.0,False
