"user_id","user_id_str","followers_count","friends_count","listed_count","favourites_count","statuses_count","total_tweets","covid_tweets","covid_pct","is_covid"
1076190575311970304,"1076190575311970304",1675,778,4,8776,2704,390,2,0.005128205128205128,True
109592592,"109592592",296,541,9,2332,2201,409,45,0.1100244498777506,True
1213836511306608641,"1213836511306608641",46,177,0,267,664,283,1,0.0035335689045936395,True
1240252237496139776,"1240252237496139776",510,657,1,14,25165,5063,239,0.04720521429982224,True
1251271040866582529,"1251271040866582529",1421,1293,4,1266,573,185,1,0.005405405405405406,True
132932087,"132932087",191,352,1,335,1553,255,26,0.10196078431372549,True
1371101612765249546,"1371101612765249546",3588,619,4,1149,97,34,0,0.0,False
193347966,"193347966",779,954,8,108687,27884,2609,108,0.041395170563434266,True
213131653,"213131653",3678,2945,26,21224,8574,794,5,0.006297229219143577,True
219350809,"219350809",383,1778,3,1504,1779,2,0,0.0,False
2254799006,"2254799006",1453,2655,50,3560,2225,407,11,0.02702702702702703,True
3049972011,"3049972011",1881,3647,20,4200,2373,1150,81,0.07043478260869565,True
380600484,"380600484",2693,986,20,7591,3205,119,11,0.09243697478991597,True
3996860741,"3996860741",151,401,0,589,595,285,8,0.028070175438596492,True
4084752742,"4084752742",2517,1128,15,4451,2065,163,5,0.03067484662576687,True
414638444,"414638444",301,326,0,2974,384,46,1,0.021739130434782608,True
492421400,"492421400",2475,699,13,19454,4528,673,19,0.02823179791976226,True
623935602,"623935602",43,239,0,215,4,4,0,0.0,False
70992240,"70992240",398,3732,1,53210,19260,2639,5,0.0018946570670708603,True
728544613947019264,"728544613947019264",2178,847,12,13301,2517,128,3,0.0234375,True
759086769878994944,"759086769878994944",612,539,6,19380,12406,1212,26,0.02145214521452145,True
771543750,"771543750",236,283,15,17230,10018,758,30,0.0395778364116095,True
81674268,"81674268",67,269,6,1697,1261,2,0,0.0,False
90038295,"90038295",153,760,2,214,1402,17,1,0.058823529411764705,True
