hashtag,source,target
COP27,TheInsiderPaper,Invictadria
COP27,monaeltahawy,NarratriceNessa
COP27,BarbaraNovaTv,DNEVNIKhr
COP27,BarbaraNovaTv,DNEVNIKhr
COP27,BarbaraNovaTv,DNEVNIKhr
COP27,BarbaraNovaTv,DNEVNIKhr
COP27,Gawhary,joyhearts4
COP27,vanderbellen,joyhearts4
COP27,DiEM_25,staribluzer
COP27,peter_mcgahan,staribluzer
COP27,JamesMelville,staribluzer
COP27,EC_AVService,EK_Hrvatska
COP27,EC_AVService,EK_Hrvatska
COP27,crosol_platform,EK_Hrvatska
COP27,TimMcPhieEU,EK_Hrvatska
COP27,VSinkevicius,EK_Hrvatska
COP27,BCollier2012,zeljkototh
COP27,CarolineLucas,zeljkototh
COP27,Isaac_Herzog,Marina87251891
COP27,AmichaiStein1,Marina87251891
COP27,HDZ_HR,Marina87251891
COP27,AFP,Marina87251891
COP27,DrEliDavid,HVojnic
COP27,EU_Finance,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,GabrielMariya,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,ECinBulgaria,OgnianZlatev
COP27,ECinBulgaria,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,EUClimateAction,OgnianZlatev
COP27,EK_Hrvatska,OgnianZlatev
COP27,EK_Hrvatska,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,ECinBulgaria,OgnianZlatev
COP27,TimmermansEU,OgnianZlatev
COP27,TimmermansEU,OgnianZlatev
COP27,JosepBorrellF,OgnianZlatev
COP27,TimMcPhieEU,OgnianZlatev
COP27,TimMcPhieEU,OgnianZlatev
COP27,vonderleyen,OgnianZlatev
COP27,UN,OgnianZlatev
COP27,EUCouncil,OgnianZlatev
COP27,EC_AVService,OgnianZlatev
COP27,EC_AVService,OgnianZlatev
COP27,vonderleyen,OgnianZlatev
COP27,EUClimateAction,OgnianZlatev
COP27,aberemliysky,OgnianZlatev
COP27,vonderleyen,OgnianZlatev
COP27,vonderleyen,OgnianZlatev
COP27,eu_echo,OgnianZlatev
COP27,EK_Hrvatska,OgnianZlatev
COP27,EK_Hrvatska,OgnianZlatev
COP27,EK_Hrvatska,OgnianZlatev
COP27,EC_AVService,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,GospodinovaEU,OgnianZlatev
COP27,EC_AVService,OgnianZlatev
COP27,EC_AVService,OgnianZlatev
COP27,vonderleyen,OgnianZlatev
COP27,vonderleyen,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,EK_Hrvatska,OgnianZlatev
COP27,HHichilema,OgnianZlatev
COP27,TimmermansEU,OgnianZlatev
COP27,McGuinnessEU,OgnianZlatev
COP27,EUCouncil,OgnianZlatev
COP27,EUClimateAction,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,EK_Hrvatska,OgnianZlatev
COP27,TimMcPhieEU,OgnianZlatev
COP27,JoostKorte,OgnianZlatev
COP27,EUClimateAction,OgnianZlatev
COP27,ecfin,OgnianZlatev
COP27,JoostKorte,OgnianZlatev
COP27,TimmermansEU,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,TimMcPhieEU,OgnianZlatev
COP27,EUClimateAction,OgnianZlatev
COP27,eu_echo,OgnianZlatev
COP27,crosol_platform,OgnianZlatev
COP27,JosepBorrellF,OgnianZlatev
COP27,EU_Partnerships,OgnianZlatev
COP27,UN_News_Centre,OgnianZlatev
COP27,UN,OgnianZlatev
COP27,vonderleyen,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,JosepBorrellF,OgnianZlatev
COP27,VSinkevicius,OgnianZlatev
COP27,EK_Hrvatska,OgnianZlatev
COP27,EU_Commission,OgnianZlatev
COP27,sana2,mizantropkinja
COP27,JamesMelville,Cortezhr
COP27,DiEM_25,Cortezhr
COP27,DrEliDavid,Cortezhr
COP27,AusAmbClimate,AusAmbCroatia
COP27,CarbonBrief,ChonkyFluffball
COP27,ALDEParty,HrVr1
COP27,FAOForestry,HrVr1
COP27,corporateeurope,ZaustavimoTTIP
COP27,PrisonPlanet,Kalistox
COP27,DiEM_25,Kalistox
COP27,DrEliDavid,Kalistox
COP27,_david_ho_,ivanhoe011
COP27,AGFUNDProgram,MarinaGodanj
COP27,BarbaraNovaTv,novahr
COP27,350,SZelenika
COP27,AndrejPlenkovic,HDZ_HR
COP27,AndrejPlenkovic,HDZ_HR
COP27,VladaRH,HDZ_HR
COP27,davorfilipovic2,HDZ_HR
COP27,AndrejPlenkovic,HDZ_HR
COP27,_david_ho_,Tomiklauski
COP27,_david_ho_,izovko
COP27,WeDontHaveTime,tomislavbrcic
COP27,eTukTukio,tomislavbrcic
COP27,CarbonBrief,NikolaKalini
COP27,irinasandu_ec,izidor_pelajic
COP27,JamesMelville,dpasaric
COP27,JamesMelville,dpasaric
COP27,zvonimir_mrsic,dpasaric
COP27,francediplo_EN,FranceenCroatie
COP27,francediplo_EN,FranceenCroatie
COP27,francediplo,FranceenCroatie
COP27,StateDept,USEmbZagreb
COP27,StateDept,USEmbZagreb
COP27,SophiaKianni,NBiliskov
COP27,GretaThunberg,NBiliskov
COP27,Greenpeaceafric,NBiliskov
COP27,Mariana_Castano,NBiliskov
COP27,PrisonPlanet,Laila_Horvat
COP27,AbogadoDiabIo,Laila_Horvat
COP27,Rob_Roos,Laila_Horvat
COP27,ippf,DanielaDrandic
COP27,elleprovocateur,FrackFreeCRO
COP27,BeingBranKOd,FrackFreeCRO
COP27,nodealfornature,FrackFreeCRO
COP27,vbadpanda,FrackFreeCRO
COP27,elleprovocateur,NoDeal4NatureHR
COP27,BeingBranKOd,NoDeal4NatureHR
COP27,JamesMelville,NoDeal4NatureHR
COP27,vbadpanda,NoDeal4NatureHR
COP27,nodealfornature,NoDeal4NatureHR
COP27,elleprovocateur,CETAfreezoneCRO
COP27,BeingBranKOd,CETAfreezoneCRO
COP27,nodealfornature,CETAfreezoneCRO
COP27,vbadpanda,CETAfreezoneCRO
COP27,vanessa_vash,Uttec
COP27,Avaaz,Uttec
COP27,Avaaz,Uttec
COP27,Neolawyer1,bre_jew
COP27,Joyce_Karam,JasnaC4
COP27,AndrejPlenkovic,VladaRH
COP27,AndrejPlenkovic,VladaRH
COP27,AndrejPlenkovic,VladaRH
COP27,m_lukanovic,zorankrusvar
COP27,cheqd_io,Hrcinator
COP27,alycialeonard,sdewes_centre
COP27,AksanaKras,sdewes_centre
COP27,siir_kilkis,sdewes_centre
COP27,Plant_Treaty,AnimalsWBorders
COP27,FinGovernment,FinEmbCroatia
COP27,thisisFINLAND,FinEmbCroatia
COP27,GermanyDiplo,njemacko_vlp
COP27,GermanyUN,njemacko_vlp
COP27,dw_politics,njemacko_vlp
COP27,en_germany,njemacko_vlp
COP27,GermanyDiplo,njemacko_vlp
COP27,dw_europe,njemacko_vlp
COP27,GermanyDiplo,njemacko_vlp
COP27,GermanyUN,njemacko_vlp
COP27,climatemorgan,njemacko_vlp
COP27,GermanyDiplo,njemacko_vlp
COP27,en_germany,njemacko_vlp
COP27,GermanyDiplo,njemacko_vlp
COP27,GermanyDiplo,njemacko_vlp
COP27,FCA_global,WDubrovnik
COP27,FCA_global,WDubrovnik
COP27,NaistenPankki,WDubrovnik
COP27,NaistenPankki,WDubrovnik
COP27,MinColonna,GaelVeyssiere
COP27,Elysee,GaelVeyssiere
COP27,Elysee,GaelVeyssiere
COP27,LeChouNews,LovreMihotic
COP27,merrionstreet,IrlEmbCroatia
COP27,ClimateTracking,keplam
COP27,FAOForestry,keplam
COP27,GlobalLF,keplam
COP27,wwf_mada,keplam
COP27,RECOFTC,keplam
COP27,fatoulaminjeng,keplam
COP27,unredd,keplam
COP27,FAOForestry,keplam
COP27,adrien4ej,keplam
COP27,CSORG,keplam
COP27,LossandDamage,keplam
COP27,unredd,keplam
COP27,gcdcj,keplam
COP27,AssaadRazzouk,keplam
COP27,corporateeurope,Zelenaakcija
COP27,FoEint,Zelenaakcija
COP27,corporateeurope,Zelenaakcija
COP27,corporateeurope,Zelenaakcija
COP27,FoEint,Zelenaakcija
COP27,FoEint,Zelenaakcija
COP27,EK_Hrvatska,AndreaCovic
COP27,EK_Hrvatska,AndreaCovic
COP27,EK_Hrvatska,AndreaCovic
COP27,EK_Hrvatska,AndreaCovic
COP27,COP27P,UKinCroatia
COP27,COP26,UKinCroatia
COP27,FCDOGovUK,UKinCroatia
COP27,COP26,UKinCroatia
COP27,ceebankwatch,a_kuzmanic
COP27,MikeHudema,LipsinicLuka
COP27,DiEM_25,TCvetkovic
COP27,HrMarkom,davorfilipovic2
COP27,JamesMelville,krsko0
COP27,HrMarkom,Lukabalvan
COP27,CopernicusEU,bo_jan
COP27,GretaThunberg,CicaNaKolica
COP27,EU_Commission,IvanCar47530225
COP27,antonioguterres,StBoldyryev
COP27,4frankbarat,llevaj
COP27,thesiriusreport,llevaj
COP27,DrEliDavid,llevaj
COP27,JamesMelville,llevaj
COP27,PrisonPlanet,llevaj
