hashtag,source,target
Ukraine,ua_parliament,kroati1
Ukraine,SlavaUk30722777,damirvucic99
Ukraine,A7_Mirza,AljosaDragas
Ukraine,ArthurM40330824,AljosaDragas
Ukraine,AsaadHannaa,AljosaDragas
Ukraine,Ukraine66251776,AljosaDragas
Ukraine,GeromanAT,AljosaDragas
Ukraine,GeromanAT,AljosaDragas
Ukraine,ejmalrai,AljosaDragas
Ukraine,timand2037,AljosaDragas
Ukraine,Ukraine66251776,AljosaDragas
Ukraine,tyiscl,djmaminho
Ukraine,GlasnostGone,RadioNightwatch
Ukraine,Bosni_94,m15992576
Ukraine,I_Katchanovski,m15992576
Ukraine,I_Katchanovski,m15992576
Ukraine,BrianJBerletic,m15992576
Ukraine,I_Katchanovski,m15992576
Ukraine,I_Katchanovski,m15992576
Ukraine,MatreshkaCB,m15992576
Ukraine,I_Katchanovski,m15992576
Ukraine,I_Katchanovski,m15992576
Ukraine,I_Katchanovski,m15992576
Ukraine,I_Katchanovski,m15992576
Ukraine,ReadovkaWorld,grabancijas
Ukraine,Helena_321,Helena_321
Ukraine,Helena_321,Helena_321
Ukraine,Matt_VanDyke,Helena_321
Ukraine,Maks_NAFO_FELLA,Helena_321
Ukraine,GlasnostGone,Helena_321
Ukraine,lesiavasylenko,Helena_321
Ukraine,Maks_NAFO_FELLA,Helena_321
Ukraine,GlasnostGone,Helena_321
Ukraine,lesiavasylenko,Helena_321
Ukraine,berlin_bridge,Helena_321
Ukraine,ukraine_world,Helena_321
Ukraine,lesiavasylenko,Helena_321
Ukraine,SlavaUk30722777,Helena_321
Ukraine,lesiavasylenko,Helena_321
Ukraine,daryazorka,Helena_321
Ukraine,GlasnostGone,Helena_321
Ukraine,daryazorka,Helena_321
Ukraine,Tendar,Helena_321
Ukraine,kajakallas,Helena_321
Ukraine,MFA_Ukraine,Helena_321
Ukraine,Tendar,Helena_321
Ukraine,GlasnostGone,Helena_321
Ukraine,drago99294906,mirko_mirkan
Ukraine,drago99294906,mirko_mirkan
Ukraine,drago99294906,mirko_mirkan
Ukraine,drago99294906,mirko_mirkan
Ukraine,Tendar,NinaPP5
Ukraine,DenesTorteli,NinaPP5
Ukraine,TetyanaWrites,Invictadria
Ukraine,Pontifex,MusicManNOEL
Ukraine,VaticanNews,MusicManNOEL
Ukraine,Pontifex,MusicManNOEL
Ukraine,VaticanNews,MusicManNOEL
Ukraine,Blue_Sauron,KarpatskyV
Ukraine,TetyanaWrites,KarpatskyV
Ukraine,FCShakhtar_eng,NogometPlusNet
Ukraine,Tay_DH,JMarkulj
Ukraine,U24_gov_ua,JMarkulj
Ukraine,PStyle0ne1,JMarkulj
Ukraine,nexta_tv,SilverSpace
Ukraine,TetyanaWrites,SilverSpace
Ukraine,globalpatria1,MarinkoKordic
Ukraine,globalpatria1,MarinkoKordic
Ukraine,LinkeviciusL,MarinkoKordic
Ukraine,_Furid,Efeuefeus
Ukraine,Daark_web,Efeuefeus
Ukraine,Fire_yeniii,Efeuefeus
Ukraine,IComestible,Efeuefeus
Ukraine,Tendar,SP30627151
Ukraine,MX5AKA,9a2ki
Ukraine,Arslon_Xudosi,9a2ki
Ukraine,jamesvgingerich,9a2ki
Ukraine,UkraineDFS,9a2ki
Ukraine,vamelina,9a2ki
Ukraine,Tendar,joyhearts4
Ukraine,Tendar,joyhearts4
Ukraine,kajakallas,joyhearts4
Ukraine,HeliosRunner,matekosor
Ukraine,kajakallas,matekosor
Ukraine,MriyaReport,matekosor
Ukraine,nexta_tv,matekosor
Ukraine,JHahnEU,EK_Hrvatska
Ukraine,ProfessorsBlogg,KatarinaVidovic
Ukraine,I_Katchanovski,KatarinaVidovic
Ukraine,I_Katchanovski,KatarinaVidovic
Ukraine,5thSu,ZenoZokalj
Ukraine,BrianJBerletic,ZenoZokalj
Ukraine,BrianJBerletic,ZenoZokalj
Ukraine,ArthurM40330824,ZenoZokalj
Ukraine,ZenoZokalj,ZenoZokalj
Ukraine,MriyaReport,ZGportal
Ukraine,arnohb112,DobriF
Ukraine,AndersonAfDMdEP,HVojnic
Ukraine,Blue_Sauron,Gmizavci
Ukraine,RegnumCroatorum,Gmizavci
Ukraine,Blue_Sauron,Gmizavci
Ukraine,Blue_Sauron,Gmizavci
Ukraine,TetyanaWrites,Gmizavci
Ukraine,LlopisMarta95,Gmizavci
Ukraine,andrewmichta,ThatTLOUFanboy
Ukraine,KadriSimson,OgnianZlatev
Ukraine,KadriSimson,OgnianZlatev
Ukraine,KadriSimson,OgnianZlatev
Ukraine,KadriSimson,OgnianZlatev
Ukraine,JHahnEU,OgnianZlatev
Ukraine,JHahnEU,OgnianZlatev
Ukraine,EUvsDisinfo,OgnianZlatev
Ukraine,EUCouncilTVNews,OgnianZlatev
Ukraine,Europa_TVE,OgnianZlatev
Ukraine,JHahnEU,OgnianZlatev
Ukraine,EC_AVService,OgnianZlatev
Ukraine,JHahnEU,OgnianZlatev
Ukraine,JHahnEU,OgnianZlatev
Ukraine,JHahnEU,OgnianZlatev
Ukraine,JHahnEU,OgnianZlatev
Ukraine,Huber62,OgnianZlatev
Ukraine,EC_AVService,OgnianZlatev
Ukraine,KadriSimson,OgnianZlatev
Ukraine,VDombrovskis,OgnianZlatev
Ukraine,JHahnEU,OgnianZlatev
Ukraine,EUCouncil,OgnianZlatev
Ukraine,vestager,OgnianZlatev
Ukraine,JosepBorrellF,OgnianZlatev
Ukraine,PiaAhrenkilde,OgnianZlatev
Ukraine,KadriSimson,OgnianZlatev
Ukraine,PierreCrom,i_penava
Ukraine,halyapuff,i_penava
Ukraine,JamesHogaboam,Cortezhr
Ukraine,ArthurM40330824,Cortezhr
Ukraine,Syricide,Cortezhr
Ukraine,Syricide,Cortezhr
Ukraine,kamilaofprague,Ven_VVE
Ukraine,CherepinGeorge,nenadzanko
Ukraine,CatOutOfTheBag2,nenadzanko
Ukraine,gchahal,HunterCrypto420
Ukraine,UAWeapons,antoncxjo
Ukraine,ArthurM40330824,Kalistox
Ukraine,UAWeapons,Grickitop1
Ukraine,Tendar,Grickitop1
Ukraine,MFA_Ukraine,viborc
Ukraine,kelleralant,drmalway
Ukraine,eduardheger,SaricComposer
Ukraine,Pontifex,MarinaGodanj
Ukraine,PLinUNESCO,PLinHrvatska
Ukraine,AndrejPlenkovic,MajdaMiloglav
Ukraine,Tendar,stjepan99007469
Ukraine,GlasnostGone,stjepan99007469
Ukraine,lawyerberlin,chris760809
Ukraine,KBoz3,chris760809
Ukraine,iLeadersSummit,AdriaticIPP
Ukraine,berlin_bridge,milanrimac
Ukraine,JamesHogaboam,nebosky
Ukraine,ArthurM40330824,nebosky
Ukraine,grlicradman,HDZ_HR
Ukraine,grlicradman,HDZ_HR
Ukraine,AndrejPlenkovic,HDZ_HR
Ukraine,KKaticic,HDZ_HR
Ukraine,timand2037,Nicsoew
Ukraine,IFR2022,Nicsoew
Ukraine,criticalthreats,DarkoKrstic13ZG
Ukraine,MFA_Ukraine,UKRinHRV
Ukraine,MFA_Ukraine,UKRinHRV
Ukraine,EmineDzheppar,UKRinHRV
Ukraine,EmineDzheppar,UKRinHRV
Ukraine,AndrejPlenkovic,UKRinHRV
Ukraine,Liveuamap,despotinfinitus
Ukraine,PChaibriant,VirginieNinaK
Ukraine,LepretreTony,VirginieNinaK
Ukraine,robert_zubrin,marokrile
Ukraine,Blue_Sauron,tamisclaus
Ukraine,markito0171,tamisclaus
Ukraine,ProfessorsBlogg,BaricJurica
Ukraine,MinColonna,FranceenCroatie
Ukraine,francediplo_EN,FranceenCroatie
Ukraine,AlbanianDiplo,AlEmbCroatia
Ukraine,AlMissionUN,AlEmbCroatia
Ukraine,HoxhaFer,AlEmbCroatia
Ukraine,MLinntam,AlEmbCroatia
Ukraine,grlicradman,AlEmbCroatia
Ukraine,AlMissionUN,AlEmbCroatia
Ukraine,AlMissionUN,AlEmbCroatia
Ukraine,AlMissionUN,AlEmbCroatia
Ukraine,xhacka_olta,AlEmbCroatia
Ukraine,Tendar,comando222
Ukraine,SimGold,Nonoleta112
Ukraine,AndersonAfDMdEP,Laila_Horvat
Ukraine,StateOfCroatia,Laila_Horvat
Ukraine,WarintheFuture,ViseslavR
Ukraine,WarintheFuture,ViseslavR
Ukraine,GlasnostGone,vickie__b
Ukraine,VanessaBeeley,FrackFreeCRO
Ukraine,VanessaBeeley,NoDeal4NatureHR
Ukraine,UAWeapons,DrazenRaspudic
Ukraine,UAWeapons,DrazenRaspudic
Ukraine,UAWeapons,DrazenRaspudic
Ukraine,UAWeapons,DrazenRaspudic
