year,month,week,day,source,target,hashtag,retweet_count,favorite_count
2022,6,22,1,AndrejaMetelko,GorankaP,Ukraine️,1,39.0
2022,6,22,1,AndrejaMetelko,GorankaP,WesternBalkans,1,39.0
2022,6,22,1,AndrejaMetelko,KMahecic,Ukraine️,1,39.0
2022,6,22,1,AndrejaMetelko,KMahecic,WesternBalkans,1,39.0
2022,6,22,1,AndrejaMetelko,UKSimonT,Ukraine️,1,39.0
2022,6,22,1,AndrejaMetelko,UKSimonT,WesternBalkans,1,39.0
2022,6,22,1,AndrejaMetelko,UKinCroatia,Ukraine️,1,39.0
2022,6,22,1,AndrejaMetelko,UKinCroatia,WesternBalkans,1,39.0
2022,6,22,1,AthleteZeppelin,AthleteZeppelin,ZeppelinTeam,1,2.0
2022,6,22,1,Croatia_hr,NeovisniA,CroatiaNaturallyYours,1,86.0
2022,6,22,1,Croatia_hr,NeovisniA,CroatiaYourLifeTimeExperience,1,86.0
2022,6,22,1,Croatia_hr,lucijana,CroatiaNaturallyYours,1,86.0
2022,6,22,1,Croatia_hr,lucijana,CroatiaYourLifeTimeExperience,1,86.0
2022,6,22,1,CroatianCricket,MedCricket,BaggyReds,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,BradHogg,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,Cricket,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,Croatia,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,CroatianCricketFederation,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,DarrenMaddy,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,Finland,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,ICC2022,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,MCL2022,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,MediterraneanCricketLeague,1,11.0
2022,6,22,1,CroatianCricket,MedCricket,SimonKatich,1,11.0
2022,6,22,1,DNEVNIKhr,novahr,dnevnikhr,8,72.0
2022,6,22,1,DubokaVoda,hish766,corporatepolitics,1,2.0
2022,6,22,1,DubrovnikTimes,ElonTravel,Croatia,1,27.0
2022,6,22,1,DubrovnikTimes,Kennmalaysia,Croatia,1,27.0
2022,6,22,1,EK_Hrvatska,AgencijaPgz,DigitalEuro,1,5.0
