year,month,week,day,source,target,tweet_count,favorite_count
2022,10,39,1,LikeZadar,FeelZadar,1,33
2022,10,39,1,LikeZadar,LikeZadar,1,33
2022,10,39,1,RitamBalkana,AcaLukas,1,0
2022,10,39,1,RitamBalkana,RitamBalkana,1,0
2022,10,39,1,RitamBalkana,RitamBalkanaCom,1,0
2022,10,39,1,RitamBalkana,balkanmuzika,1,0
2022,10,39,1,RitamBalkana,glazba,1,0
2022,10,39,1,RitamBalkana,jednom,1,0
2022,10,39,1,RitamBalkana,muzika,1,0
2022,10,39,1,RitamBalkana,officialvideo,1,0
2022,10,39,1,RitamBalkana,videospot,1,0
2022,10,39,1,SuperSportHNL,SuperSportHNL,4,136
2022,10,39,1,ZagrebFacts,ZagrebFacts,1,26
2022,10,39,1,agroklub,AutoPath,1,13
2022,10,39,1,agroklub,GreenDeal,1,13
2022,10,39,1,agroklub,agroklub,5,65
2022,10,39,1,agroklub,aplikacija,1,13
2022,10,39,1,agroklub,digitalizacijapoljoprivrede,1,13
2022,10,39,1,agroklub,emisije,1,13
2022,10,39,1,agroklub,eu,3,39
2022,10,39,1,agroklub,klimatskepromjene,1,13
2022,10,39,1,agroklub,kulen,1,13
2022,10,39,1,agroklub,oznaka,1,13
2022,10,39,1,agroklub,pesticidi,1,13
2022,10,39,1,agroklub,posao,1,13
2022,10,39,1,agroklub,pršut,1,13
2022,10,39,1,agroklub,statistika,1,13
2022,10,39,1,agroklub,voćarstvo,1,13
2022,10,39,1,agroklub,šuma,1,13
2022,10,39,1,evclinic,id3,1,1
2022,10,39,1,evclinic,vw,1,1
2022,10,39,1,gnkdinamo,dinamozagreb,10,4940
2022,10,39,1,hajduk,Hajduk,3,348
2022,10,39,1,hajduk,tebipripadam,1,116
2022,10,39,1,kkdinamo,basketball,1,22
2022,10,39,1,kkdinamo,croatia,1,22
2022,10,39,1,kkdinamo,dinamo,1,22
2022,10,39,1,kkdinamo,dinamozagreb,1,22
2022,10,39,1,kkdinamo,hrvatska,1,22
2022,10,39,1,kkdinamo,kkdinamo,1,22
2022,10,39,1,kkdinamo,košarka,1,22
2022,10,39,1,kkdinamo,zagreb,1,22
2022,10,39,1,kkzadar,GradKošarke,1,13
2022,10,39,1,kkzadar,IgrajZadre,1,13
2022,10,39,1,znatko,odgovor,8,0
2022,10,39,1,znatko,pitanje,8,0
2022,10,39,2,PetraLidia,PaintigSuperstar,1,3
2022,10,39,2,PetraLidia,PetraLidia,1,3
2022,10,39,2,PetraLidia,acrylic,1,3
2022,10,39,2,PetraLidia,painted,1,3
2022,10,39,2,PetraLidia,painting,1,3
2022,10,39,2,RitamBalkana,BobanRajovic,1,0
2022,10,39,2,RitamBalkana,IvanZak,1,0
2022,10,39,2,RitamBalkana,KilometriLjubavi,1,0
2022,10,39,2,RitamBalkana,RitamBalkana,1,0
2022,10,39,2,RitamBalkana,RitamBalkanaCom,1,0
2022,10,39,2,RitamBalkana,balkan,1,0
2022,10,39,2,RitamBalkana,balkanmuzika,1,0
2022,10,39,2,RitamBalkana,glazba,1,0
2022,10,39,2,RitamBalkana,muzickanumera,1,0
2022,10,39,2,RitamBalkana,muzika,1,0
2022,10,39,2,RitamBalkana,novapesma,1,0
2022,10,39,2,RitamBalkana,novapjesma,1,0
2022,10,39,2,RitamBalkana,novisingl,1,0
2022,10,39,2,SuperSportHNL,SuperSportHNL,4,68
2022,10,39,2,agroklub,agorklub,1,2
2022,10,39,2,agroklub,agroklub,3,6
2022,10,39,2,agroklub,charbonnay,1,2
2022,10,39,2,agroklub,eu,1,2
2022,10,39,2,agroklub,klimatskepromjene,1,2
2022,10,39,2,agroklub,nutrija,1,2
2022,10,39,2,agroklub,poljoprivreda,1,2
2022,10,39,2,agroklub,rakiju,1,2
2022,10,39,2,agroklub,statistika,1,2
2022,10,39,2,agroklub,vino,1,2
2022,10,39,2,agroklub,šteta,1,2
2022,10,39,2,gnkdinamo,dinamozagreb,1,58
2022,10,39,2,hajduk,AjdeHajduče,1,795
2022,10,39,2,hajduk,AjmoBijeliAle,2,1590
2022,10,39,2,hajduk,Hajduk,9,7155
2022,10,39,2,hajduk,RijHaj,37,29415
2022,10,39,2,kkdinamo,DinamoZagreb,1,9
2022,10,39,2,kkdinamo,Zagreb,1,9
2022,10,39,2,kkdinamo,dinamo,1,9
2022,10,39,2,kkdinamo,kkdinamo,1,9
2022,10,39,2,kkdinamo,Šibenka,1,9
2022,10,39,2,kkdinamo,šibenik,1,9
2022,10,39,2,mkundek,tisak,1,1
2022,10,39,2,mrak,Nedjeljni,1,17
2022,10,39,2,ravnododna,tvornicakulture,1,2
2022,10,39,2,studio4web,domena,1,0
2022,10,39,2,studio4web,studio4web,2,0
2022,10,39,2,znatko,odgovor,2,0
2022,10,39,2,znatko,pitanje,2,0
2022,10,40,3,A1Hrvatska,Incognito,1,1
2022,10,40,3,LikeZadar,FeelZadar,1,7
2022,10,40,3,LikeZadar,LikeZadar,1,7
2022,10,40,3,NovaRunda,Imperijalac,1,7
2022,10,40,3,RitamBalkana,Costi,1,0
2022,10,40,3,RitamBalkana,RitamBalkana,1,0
2022,10,40,3,RitamBalkana,RitamBalkanaCom,1,0
2022,10,40,3,RitamBalkana,SandraAfrika,1,0
2022,10,40,3,RitamBalkana,balkanmuzika,1,0
2022,10,40,3,RitamBalkana,glazba,1,0
2022,10,40,3,RitamBalkana,muzika,1,0
2022,10,40,3,RitamBalkana,officialvideo,1,0
2022,10,40,3,RitamBalkana,turbulencija,1,0
2022,10,40,3,RitamBalkana,videospot,1,0
2022,10,40,3,SEHALeague,SEHALeague,1,2
2022,10,40,3,SEHALeague,experiencehandball,1,2
2022,10,40,3,VladaRH,BanskiDvori,1,265
2022,10,40,3,VladaRH,sjednicaVRH,1,265
2022,10,40,3,ZagrebFacts,ZagrebFacts,3,0
2022,10,40,3,agroklub,AgroRocks,1,3
2022,10,40,3,agroklub,DigitalnaPoljoprivreda,1,3
2022,10,40,3,agroklub,NoveTehnologije,1,3
2022,10,40,3,agroklub,agroklub,3,9
2022,10,40,3,agroklub,cijene,1,3
2022,10,40,3,agroklub,drvo,1,3
2022,10,40,3,agroklub,hrana,1,3
2022,10,40,3,agroklub,mandarine,1,3
2022,10,40,3,agroklub,pelete,1,3
2022,10,40,3,agroklub,voćarstvo,1,3
2022,10,40,3,circuitmess,STEM,1,1
2022,10,40,3,circuitmess,electronics,1,1
2022,10,40,3,gnkdinamo,dinamozagreb,3,495
2022,10,40,3,golhr,barca,1,7
2022,10,40,3,golhr,belichick,1,7
2022,10,40,3,golhr,bilić,1,7
2022,10,40,3,golhr,biuk,1,7
2022,10,40,3,golhr,boks,1,7
2022,10,40,3,golhr,cosmi,1,7
2022,10,40,3,golhr,cristianoronaldo,1,7
2022,10,40,3,golhr,crnogorčević,1,7
2022,10,40,3,golhr,dinamo,1,7
2022,10,40,3,golhr,golhr,28,196
2022,10,40,3,golhr,gorica,1,7
2022,10,40,3,golhr,hajduk,3,21
2022,10,40,3,golhr,hrgović,1,7
