year,month,week,day,source,target,quote_count,favorite_count
2022,10,40,5,SuperSportHNL,UCL,2,524.0
2022,10,40,5,SuperSportHNL,dinamozagreb,2,524.0
2022,10,41,11,SuperSportHNL,UCL,2,420.0
2022,10,41,11,SuperSportHNL,dinamozagreb,2,420.0
2022,10,42,19,InfobipShift,Chrome,1,1.0
2022,10,42,19,InfobipShift,GoogleAurora,1,1.0
2022,10,42,19,InfobipShift,InfobipShift,1,1.0
2022,10,43,25,SuperSportHNL,UCL,2,360.0
2022,10,43,25,SuperSportHNL,dinamozagreb,2,360.0
2022,10,43,27,SuperSportHNL,budiponosan,1,5.0
2022,10,43,27,SuperSportHNL,football,1,5.0
2022,10,43,27,SuperSportHNL,hns,1,5.0
2022,10,43,27,SuperSportHNL,hoodie,1,5.0
2022,10,43,27,SuperSportHNL,hrvatska,1,5.0
2022,10,43,27,SuperSportHNL,nike,1,5.0
2022,10,43,27,SuperSportHNL,nogomet,1,5.0
2022,10,43,27,SuperSportHNL,reprezentacija,1,5.0
2022,10,43,27,SuperSportHNL,sports,1,5.0
2022,10,43,27,SuperSportHNL,vatreni,1,5.0
2022,10,43,27,SuperSportHNL,vatrenitoken,1,5.0
2022,10,43,29,SuperSportHNL,SuperSportHNL,1,14.0
2022,11,44,2,SuperSportHNL,UCL,1,132.0
2022,11,44,2,SuperSportHNL,dinamozagreb,1,132.0
2022,11,45,9,HAProxy,HAProxyConf,2,8.0
2022,11,46,16,HAProxy,DevOps,1,7.0
2022,11,46,16,HAProxy,HAProxy,1,7.0
2022,11,46,16,HAProxy,HAProxyConf,1,7.0
2022,11,46,16,HAProxy,conference,1,7.0
2022,11,46,16,HAProxy,developer,1,7.0
2022,11,46,17,HAProxy,HAProxyConf,1,16.0
2022,12,48,1,LikeZadar,CROBEL,1,591.0
2022,12,48,1,LikeZadar,FIFAWorldCup,1,591.0
2022,12,48,1,LikeZadar,Family,1,591.0
2022,12,48,1,LikeZadar,Qatar2022,1,591.0
2022,12,48,1,LikeZadar,Vatreni,1,591.0
