year,month,week,day,source,target,hashtag,quote_count,favorite_count
2022,10,39,1,Andrea_C_White,Andrea_C_White,TheRoadITook,1,15.0
2022,10,39,1,Andrea_C_White,Andrea_C_White,artistsontwitter,1,15.0
2022,10,39,1,Andrea_C_White,Andrea_C_White,philipquast,1,15.0
2022,10,39,1,Andrea_C_White,Andrea_C_White,portrait,1,15.0
2022,10,39,1,EPavlic,EPavlic,AIDay,1,61.0
2022,10,39,1,EPavlic,EPavlic,Tesla,1,61.0
2022,10,39,1,SuperSportHNL,Antonio_Juricic,SuperSportHNL,1,11.0
2022,10,39,1,UrosZiv,UrosZiv,Moon,1,12.0
2022,10,39,1,ateezholic,ateezholic,KCON2022SAUDIARABIA,1,0.0
2022,10,39,1,davorfilipovic2,viborc,Aktualac,1,33.0
2022,10,39,1,jklaric,berorules,kijevbojna,1,61.0
2022,10,39,2,AljosaDragas,AljosaDragas,GhostShipMater,1,4.0
2022,10,39,2,Bracopone,brajko_iv,AudioIN,2,2.0
2022,10,39,2,HNS_CFF,Ivy__Croatia,Croatia,1,75.0
2022,10,39,2,HNS_CFF,Ivy__Croatia,Family,1,75.0
2022,10,39,2,HNS_CFF,Ivy__Croatia,Vatreni,1,75.0
2022,10,39,2,IvanaTucak,ZvonimirMilas,TheHistoryAvenue,1,62.0
2022,10,39,2,KristijanKrkac,sapiensapiens22,HeroiamSlava,1,1.0
2022,10,39,2,KristijanKrkac,sapiensapiens22,SlavaUkraini,1,1.0
2022,10,39,2,KristijanKrkac,sapiensapiens22,Ukraine,1,1.0
2022,10,39,2,LeonKaladija,LeonKaladija,ROBLOX,1,19.0
2022,10,39,2,LeonKaladija,LeonKaladija,robloxanimation,1,19.0
2022,10,39,2,LeonKaladija,LeonKaladija,robloxdev,1,19.0
2022,10,39,2,NKRijeka,Ivy__Croatia,HNKRijeka,1,17.0
2022,10,39,2,NKRijeka,Ivy__Croatia,Jadranskiderbi,1,17.0
2022,10,39,2,NKRijeka,Ivy__Croatia,ZajednosmoRijeka,1,17.0
2022,10,39,2,SasaSimpraga,SeverMaja,Dotrščina,1,30.0
2022,10,39,2,ZmireJagoda,ZmireJagoda,NovaSlikaProfila,1,16.0
2022,10,39,2,anijaZam,iticma,zagrebackimaraton,1,0.0
2022,10,40,3,Kosjenka,Kosjenka,zagreb,1,0.0
2022,10,40,3,Kosjenka,Kosjenka,zgbicikl,1,0.0
2022,10,40,3,KristijanKrkac,sapiensapiens22,HeroiamSlava,1,1.0
2022,10,40,3,KristijanKrkac,sapiensapiens22,SlavaUkraini,1,1.0
2022,10,40,3,KristijanKrkac,sapiensapiens22,Ukraine,1,1.0
2022,10,40,3,LeoLjubicic66,LeoLjubicic66,HOTD,1,1.0
2022,10,40,3,LeoLjubicic66,LeoLjubicic66,Pfizer,1,1.0
2022,10,40,3,LeonKaladija,LeonKaladija,ROBLOX,1,57.0
2022,10,40,3,LeonKaladija,LeonKaladija,robloxanimation,1,57.0
