year,month,week,day,source,target,retweet_count,favorite_count
2022,10,39,1,ElonTravel,StandWithUkraine,2,31448.0
2022,10,39,1,RebootDevelop,GameDev,1,2.0
2022,10,39,1,RebootDevelop,IndieDev,1,2.0
2022,10,39,1,RebootDevelop,IndieGameDev,1,7.0
2022,10,39,1,RebootDevelop,Inscryption,1,12.0
2022,10,39,1,RebootDevelop,RebootBlue,4,231.0
2022,10,39,1,RebootDevelop,RebootDevelop,1,7.0
2022,10,39,1,RebootDevelop,dubrovnik,1,7.0
2022,10,39,1,RebootDevelop,gamedev,2,13.0
2022,10,39,1,RebootDevelop,indiegame,1,12.0
2022,10,39,1,RebootDevelop,nothungover,1,57.0
2022,10,39,1,RebootDevelop,reboot,1,25.0
2022,10,39,1,RebootDevelop,rebootdevelop,2,14.0
2022,10,39,1,RebootDevelop,rebootdevelopblue,1,7.0
2022,10,39,1,RebootDevelop,ue4,1,7.0
2022,10,39,1,RebootDevelop,watermegame,1,16.0
2022,10,39,1,Zaljev,Crorace,1,8.0
2022,10,39,1,Zaljev,Hrvatska,1,8.0
2022,10,39,1,Zaljev,Rijeka,1,8.0
2022,10,39,1,Zaljev,Zaljev,1,12.0
2022,10,39,1,Zaljev,kvarner,1,20.0
2022,10,39,1,Zaljev,photography,1,20.0
2022,10,39,1,Zaljev,rijeka,1,20.0
2022,10,39,1,Zaljev,zaljev,2,28.0
2022,10,39,2,LikeZadar,croatia,1,19.0
2022,10,39,2,LikeZadar,europe,1,19.0
2022,10,39,2,LikeZadar,explore,1,19.0
2022,10,39,2,LikeZadar,holiday,1,19.0
2022,10,39,2,LikeZadar,hrvatska,1,19.0
2022,10,39,2,LikeZadar,travel,1,19.0
2022,10,39,2,LikeZadar,vacation,1,19.0
2022,10,39,2,RebootDevelop,RebootBlue,1,37.0
2022,10,39,2,RebootDevelop,gamestudies,1,22.0
2022,10,39,2,RebootDevelop,rebootdevelop,3,60.0
2022,10,39,2,ZagrebFacts,jadranskimost,1,1.0
2022,10,39,2,ZagrebFacts,radiotaxizagreb,1,1.0
2022,10,39,2,ZagrebFacts,rtz,1,1.0
2022,10,39,2,ZagrebFacts,zagreb,1,1.0
2022,10,40,3,RebootDevelop,ADHD,1,25.0
2022,10,40,3,RebootDevelop,Dubrovnik,1,12.0
2022,10,40,3,RebootDevelop,GamingNews,1,6.0
2022,10,40,3,RebootDevelop,Gamingindustry,1,6.0
2022,10,40,3,RebootDevelop,IndieGameDev,1,16.0
2022,10,40,3,RebootDevelop,Neurodiversity,1,25.0
2022,10,40,3,RebootDevelop,RebootBlue,5,541.0
2022,10,40,3,RebootDevelop,RebootDevelop,2,60.0
2022,10,40,3,RebootDevelop,croatia,1,12.0
2022,10,40,3,RebootDevelop,dinner,1,16.0
2022,10,40,3,RebootDevelop,gamedev,1,25.0
2022,10,40,3,RebootDevelop,gamedevelopment,1,16.0
2022,10,40,3,RebootDevelop,gamingcommunity,1,6.0
2022,10,40,3,RebootDevelop,gaminglife,1,6.0
2022,10,40,3,RebootDevelop,indiegaming,1,6.0
2022,10,40,3,RebootDevelop,mood,1,25.0
2022,10,40,3,RebootDevelop,rebootdevelop,1,6.0
2022,10,40,3,RebootDevelop,rebootdevelopblue,1,18.0
2022,10,40,3,VladaRH,EUCO,1,75.0
2022,10,40,3,VladaRH,Ukraine,1,75.0
2022,10,40,3,Zaljev,Kvarner,1,18.0
2022,10,40,3,Zaljev,Rijeka,2,42.0
2022,10,40,3,Zaljev,crorace2022,1,27.0
2022,10,40,3,Zaljev,kvarner,2,54.0
2022,10,40,3,Zaljev,liburnija,1,27.0
2022,10,40,3,Zaljev,photography,3,72.0
2022,10,40,3,Zaljev,rijeka,1,27.0
2022,10,40,3,Zaljev,volosko,1,27.0
2022,10,40,3,Zaljev,zaljev,7,218.0
2022,10,40,4,CodeForCroatia,CivicTech,1,9.0
2022,10,40,4,CodeForCroatia,CodeForCroatia,1,9.0
2022,10,40,4,CodeForCroatia,FixMyStreet,1,9.0
2022,10,40,4,CodeForCroatia,PopraviTo,1,9.0
2022,10,40,4,LikeZadar,Zadar,2,32.0
2022,10,40,4,LikeZadar,ZadarAirport,2,32.0
2022,10,40,4,RebootDevelop,Berlin,1,16.0
2022,10,40,4,RebootDevelop,Creative,1,12.0
2022,10,40,4,RebootDevelop,Dubrovnik,3,50.0
2022,10,40,4,RebootDevelop,GamesRevolted,1,2.0
2022,10,40,4,RebootDevelop,IndieGameDev,1,18.0
2022,10,40,4,RebootDevelop,Inscryption,1,23.0
2022,10,40,4,RebootDevelop,NorseTheGame,2,102.0
2022,10,40,4,RebootDevelop,Now,1,17.0
2022,10,40,4,RebootDevelop,RebootBlue,2,56.0
2022,10,40,4,RebootDevelop,RebootDevelop,9,216.0
2022,10,40,4,RebootDevelop,RebootDevelopBlue,1,15.0
2022,10,40,4,RebootDevelop,StayTuned,1,17.0
2022,10,40,4,RebootDevelop,UnrealEngine5,1,51.0
2022,10,40,4,RebootDevelop,VIP,1,6.0
2022,10,40,4,RebootDevelop,adventuregames,1,30.0
2022,10,40,4,RebootDevelop,babilgames,1,4.0
2022,10,40,4,RebootDevelop,berlin,1,16.0
2022,10,40,4,RebootDevelop,conference,2,4.0
2022,10,40,4,RebootDevelop,croatia,1,4.0
2022,10,40,4,RebootDevelop,dbtb,1,15.0
2022,10,40,4,RebootDevelop,development,1,17.0
2022,10,40,4,RebootDevelop,dubrovnik,1,9.0
2022,10,40,4,RebootDevelop,friends,1,16.0
2022,10,40,4,RebootDevelop,game,4,39.0
2022,10,40,4,RebootDevelop,gameconfguide,1,5.0
2022,10,40,4,RebootDevelop,gamedev,7,105.0
2022,10,40,4,RebootDevelop,gamedevelopment,3,13.0
2022,10,40,4,RebootDevelop,games,1,16.0
2022,10,40,4,RebootDevelop,ideation,1,12.0
2022,10,40,4,RebootDevelop,indiedev,8,162.0
2022,10,40,4,RebootDevelop,indiegame,2,53.0
