year,month,week,day,source,target,hashtag,retweet_count,favorite_count
2022,10,39,1,AmineKhelif,Ambalgzagreb,Algeria,1,26.0
2022,10,39,1,AmineKhelif,Ambalgzagreb,Hravtska,1,26.0
2022,10,39,1,AmineKhelif,Ambalgzagreb,Opatija,1,26.0
2022,10,39,1,AmineKhelif,Marina87251891,Algeria,2,98.0
2022,10,39,1,AmineKhelif,Marina87251891,Hravtska,1,49.0
2022,10,39,1,AmineKhelif,Marina87251891,Hrvatska,1,49.0
2022,10,39,1,AmineKhelif,Marina87251891,Opatija,1,49.0
2022,10,39,1,AmineKhelif,Marina87251891,Sitev2022,1,49.0
2022,10,39,1,Andrea_C_White,Andrea_C_White,TheRoadITook,1,15.0
2022,10,39,1,Andrea_C_White,Andrea_C_White,artistsontwitter,1,15.0
2022,10,39,1,Andrea_C_White,Andrea_C_White,philipquast,1,15.0
2022,10,39,1,Andrea_C_White,Andrea_C_White,portrait,1,15.0
2022,10,39,1,BorisHavel,BorisHavel,Fauda,1,29.0
2022,10,39,1,BorisHavel,BorisHavel,פאודה,1,29.0
2022,10,39,1,BorisHavel,BorisHavel,فوض,1,29.0
2022,10,39,1,CroatiaFerries,_dubrovnik,Dubrovnik,1,3.0
2022,10,39,1,CroatiaFerries,_dubrovnik,Korcula,1,3.0
2022,10,39,1,DNEVNIKhr,novahr,DnevnikNoveTV,5,115.0
2022,10,39,1,DNEVNIKhr,novahr,dnevnikhr,19,437.0
2022,10,39,1,EK_Hrvatska,Grad_Osijek,CohesionPolicy,1,6.0
2022,10,39,1,EK_Hrvatska,Grad_Osijek,EUBudget,1,6.0
2022,10,39,1,EK_Hrvatska,Grad_Osijek,EUFunds,1,6.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,CohesionPolicy,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,DSA,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,DigitalEU,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,EUStateAid,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,EUTakeTheInitiative,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,EYY2022,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,IEEnergy,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,MRREUF,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,REPowerEU,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,SingleMarket,1,17.0
2022,10,39,1,EK_Hrvatska,OgnianZlatev,online,1,17.0
2022,10,39,1,EK_Hrvatska,SunshineCity83,EYY2022,1,3.0
2022,10,39,1,GreenGooGames,DamirDurovic,IndieGameDev,1,7.0
2022,10,39,1,GreenGooGames,DamirDurovic,rebootdevelopblue,1,7.0
2022,10,39,1,GreenGooGames,DamirDurovic,ue4,1,7.0
2022,10,39,1,GreenGooGames,RebootDevelop,IndieGameDev,1,7.0
2022,10,39,1,GreenGooGames,RebootDevelop,rebootdevelopblue,1,7.0
2022,10,39,1,GreenGooGames,RebootDevelop,ue4,1,7.0
2022,10,39,1,KristijanKrkac,SilverSpace,Croatia,1,4.0
2022,10,39,1,KristijanKrkac,SilverSpace,Zagreb,1,4.0
2022,10,39,1,LeonKaladija,LeonKaladija,RobloxDev,1,25.0
2022,10,39,1,LeonKaladija,LeonKaladija,roblox,1,25.0
2022,10,39,1,LikeZadar,CroatiaFerries,FeelZadar,1,22.0
2022,10,39,1,LikeZadar,CroatiaFerries,LikeZadar,1,22.0
2022,10,39,1,Marina87251891,Marina87251891,Ahaha,1,6.0
2022,10,39,1,Marina87251891,Marina87251891,AnAmericanHeart,1,6.0
2022,10,39,1,Marina87251891,Marina87251891,Awe,1,6.0
2022,10,39,1,Marina87251891,Marina87251891,ComeAndTakeIt,1,6.0
2022,10,39,1,Marina87251891,Marina87251891,ConvictedAgain,1,6.0
2022,10,39,1,Marina87251891,Marina87251891,CroatiaFullOfLife,1,6.0
2022,10,39,1,Marina87251891,Marina87251891,CroatiansKnew,1,6.0
2022,10,39,1,Marina87251891,Marina87251891,CroatiansLivedWithTheXxxxxxx,1,6.0
2022,10,39,1,Marina87251891,Marina87251891,CroatiansTheNATO,1,6.0
2022,10,39,1,Marina87251891,Marina87251891,Dubrovnik,1,6.0
