user_id,total_tweets,covid_tweets,covid_pct
7331,46,3,0.07
11705,4,0,0.0
12667,90,1,0.01
664493,5,0,0.0
680383,2087,40,0.02
698653,2398,192,0.08
707093,661,40,0.06
713553,12,0,0.0
922391,367,22,0.06
1047081,5,0,0.0
1047521,79,0,0.0
1493731,46,2,0.04
3486821,49,3,0.06
3887161,39,0,0.0
5524532,104,15,0.14
5539462,278,5,0.02
5959122,152,9,0.06
6964602,1,0,0.0
7193322,1,0,0.0
7452032,1,0,0.0
7841012,2,0,0.0
7937552,1926,51,0.03
8575182,58,4,0.07
8655572,26,0,0.0
9648182,18,0,0.0
9807052,13,0,0.0
9841492,1,0,0.0
10527092,167,1,0.01
11499162,3,1,0.33
11578302,5,0,0.0
11580762,10,1,0.1
11584022,368,20,0.05
12112642,2,0,0.0
12293172,1,0,0.0
12630282,11,1,0.09
12953402,2,0,0.0
13400862,2,0,0.0
13933842,130,0,0.0
13966312,1,0,0.0
14073175,44,1,0.02
14112168,7,1,0.14
14132808,62,1,0.02
14155156,32,0,0.0
14214261,1,1,1.0
14216489,67,1,0.01
14221508,251,19,0.08
14235023,40,1,0.02
14243151,1,0,0.0
14247221,2,0,0.0
14251976,2,0,0.0
14254161,1912,57,0.03
14256196,448,9,0.02
14259329,1127,13,0.01
14261221,2,0,0.0
14264194,362,6,0.02
14314607,1,0,0.0
14359664,11,0,0.0
14369931,1,0,0.0
14382918,49,2,0.04
14402768,410,8,0.02
14412329,452,21,0.05
14418945,420,61,0.15
14427106,1,0,0.0
14437803,30,0,0.0
14445125,1,0,0.0
14459469,52,1,0.02
14468080,2,0,0.0
14474602,687,58,0.08
14526408,5,0,0.0
14562671,618,9,0.01
14568279,835,147,0.18
14589384,226,4,0.02
14590041,87,8,0.09
14637425,3,0,0.0
14645912,29,6,0.21
14678485,2825,138,0.05
14698054,13,2,0.15
14699317,402,0,0.0
14704256,41,0,0.0
14723628,95,7,0.07
14725715,1,0,0.0
14728350,22,1,0.05
14742247,6,0,0.0
14749108,1,0,0.0
14880314,17,1,0.06
14881770,1,0,0.0
14923850,253,1,0.0
14924627,7,0,0.0
14932969,86,33,0.38
14962672,2,0,0.0
14984960,24,0,0.0
14994470,34,0,0.0
15010947,58,0,0.0
15017488,1,0,0.0
15030385,76,0,0.0
15054648,418,11,0.03
15063191,16,0,0.0
15072327,45,0,0.0
15107682,17,1,0.06
15132816,249,5,0.02
15234937,65,0,0.0
15297268,13,0,0.0
15340187,2,0,0.0
15370395,1,0,0.0
15382565,286,1,0.0
15594534,18,0,0.0
15602546,4,0,0.0
15626165,101,1,0.01
15680730,1,0,0.0
15761609,43,0,0.0
15793433,21,0,0.0
15801070,252,2,0.01
15929438,40,0,0.0
15946117,1490,55,0.04
15982697,3,0,0.0
16052856,78,1,0.01
16069051,413,28,0.07
16160318,9,0,0.0
16168354,20,0,0.0
16204825,5,0,0.0
16348417,1,0,0.0
16381688,58,1,0.02
16420079,3,0,0.0
16485136,1,0,0.0
16532520,2,0,0.0
16541724,5,0,0.0
16548888,1,0,0.0
16552268,50,0,0.0
16565200,3,0,0.0
16593428,3,0,0.0
16610716,218,3,0.01
16658066,19,2,0.11
16687611,22,1,0.05
16700166,17,0,0.0
16711719,2,0,0.0
16735555,93,2,0.02
16805785,1,0,0.0
16887615,103,2,0.02
16887752,7,1,0.14
16903826,2,0,0.0
16935134,1,0,0.0
16997206,3,0,0.0
17106099,2,0,0.0
17138982,28,2,0.07
17238017,12,1,0.08
17243645,144,7,0.05
17283027,5,0,0.0
17285652,21,1,0.05
17336807,779,77,0.1
17366820,951,12,0.01
17546573,3,0,0.0
17560329,96,3,0.03
17563921,228,36,0.16
17619908,51,5,0.1
17651169,227,19,0.08
17737336,5,0,0.0
17820931,12,0,0.0
17832518,12,0,0.0
17835803,8,0,0.0
17843195,202,20,0.1
17872992,1,0,0.0
17928039,4,0,0.0
18016709,715,30,0.04
18020440,74,1,0.01
18058876,1,0,0.0
18088259,36,2,0.06
18097144,1,0,0.0
18114269,8,0,0.0
18123135,61,2,0.03
18224164,2,0,0.0
18244409,2,0,0.0
18304835,9,0,0.0
18307878,184,5,0.03
18326630,24,0,0.0
18342337,14,0,0.0
18392709,24,2,0.08
18417916,40,2,0.05
18446785,1,0,0.0
18488858,5,0,0.0
18602917,1,1,1.0
18639669,4,0,0.0
18648524,2,0,0.0
18745397,3,0,0.0
18762496,821,11,0.01
18763400,4,0,0.0
18837572,14,0,0.0
18883474,839,97,0.12
18910443,38,4,0.11
18990615,272,37,0.14
19021604,1,0,0.0
19069859,31,0,0.0
19107694,1586,23,0.01
19130651,3075,38,0.01
19283496,276,18,0.07
19336441,1,1,1.0
19391228,522,140,0.27
